time,x,y,z
85.35206,-0.03291876,0.017862502,-0.04075013
85.36847,-0.032946337,0.017060127,-0.04092956
85.38539,-0.032079324,0.015202733,-0.04121257
85.40181,-0.031440094,0.013229825,-0.041401543
85.41817,-0.030735444,0.010832262,-0.04153733
85.43605,-0.03030034,0.008516651,-0.04153584
85.45153,-0.03095736,0.008503023,-0.04153873
85.46823,-0.03021948,0.0059561986,-0.04143985
85.48602,-0.029817505,0.0031269968,-0.041180473
85.5018,-0.029457994,0.0007527586,-0.040835302
85.51837,-0.029277917,-0.0022527296,-0.04039838
85.535,-0.029261483,-0.005247877,-0.03984259
85.55232,-0.029870003,-0.0052599837,-0.039840836
85.56821,-0.029735746,-0.0074970997,-0.039263893
85.585144,-0.028684163,-0.01138846,-0.038240716
85.60156,-0.029343503,-0.012931439,-0.03783557
85.619,-0.029062802,-0.01522515,-0.037064765
85.6351,-0.029025152,-0.016395323,-0.03667206
85.65175,-0.028998464,-0.019108554,-0.035839137
85.66812,-0.028909784,-0.021242889,-0.03493871
85.6857,-0.028827528,-0.023242705,-0.03406164
85.70164,-0.029808296,-0.024275696,-0.03363476
85.718124,-0.029973516,-0.026307842,-0.03280441
85.73477,-0.030339694,-0.028084101,-0.03194667
85.75153,-0.030224413,-0.028596086,-0.03157228
85.76816,-0.03051599,-0.030250536,-0.03079268
85.784966,-0.031209875,-0.032292094,-0.030062245
85.80165,-0.03160627,-0.03294578,-0.029685091
85.817955,-0.032365996,-0.033647336,-0.029362233
85.83516,-0.032425277,-0.035316683,-0.028349567
85.85153,-0.032920122,-0.035929706,-0.028024504
85.86857,-0.033609267,-0.03617707,-0.027260125
85.88517,-0.034041483,-0.036152095,-0.026628342
85.90157,-0.034289204,-0.036540225,-0.026202874
85.91783,-0.034939196,-0.03733512,-0.02538015
85.93498,-0.03559847,-0.03701193,-0.024550028
85.951546,-0.035705753,-0.036694646,-0.024141671
85.96824,-0.035756163,-0.036804177,-0.023364503
85.98481,-0.0367128,-0.037206065,-0.022936674
86.00147,-0.036880344,-0.037515495,-0.022013623
86.01787,-0.037102144,-0.036991604,-0.021637559
86.03446,-0.037467305,-0.03688119,-0.020785857
86.05119,-0.03828406,-0.037853513,-0.019861452
86.06778,-0.038924485,-0.0385574,-0.018973913
86.084625,-0.03925927,-0.038396314,-0.018567113
86.101234,-0.03989819,-0.038509782,-0.017789487
86.117935,-0.04060484,-0.039422467,-0.016959747
86.13438,-0.04101681,-0.039722595,-0.016546125
86.15127,-0.0413399,-0.040151667,-0.015779288
86.167816,-0.0416637,-0.040392835,-0.015057018
86.18483,-0.042119134,-0.041153606,-0.014638825
86.201294,-0.042420905,-0.042230286,-0.013816224
86.21799,-0.04247981,-0.042525478,-0.012980285
86.23461,-0.042807087,-0.0429438,-0.01261053
86.25133,-0.04288178,-0.044253577,-0.011850681
86.2685,-0.042700697,-0.045499023,-0.01115306
86.28461,-0.0432912,-0.04605883,-0.010818037
86.301216,-0.043146394,-0.04637704,-0.010337431
86.317924,-0.04276012,-0.046496008,-0.010147114
86.33471,-0.042592373,-0.046548355,-0.00983898
86.35146,-0.04262347,-0.046134934,-0.009633462
86.368286,-0.04228996,-0.04493996,-0.009397895
86.384766,-0.041958556,-0.04440128,-0.009283623
86.401245,-0.04124229,-0.043238692,-0.009192834
86.418205,-0.041871026,-0.042566802,-0.009160202
86.43467,-0.041015495,-0.041140158,-0.00917897
86.451515,-0.04050965,-0.039571173,-0.009253794
86.46822,-0.040649742,-0.03854363,-0.009343085
86.485176,-0.040043227,-0.03679735,-0.009518353
86.501816,-0.03908546,-0.034873,-0.00978565
86.51815,-0.038651817,-0.034124296,-0.009904325
86.53484,-0.039108112,-0.033281673,-0.010050712
86.55165,-0.037709735,-0.02979359,-0.010715087
86.568306,-0.037313215,-0.028664945,-0.010925896
86.58558,-0.036653876,-0.026850684,-0.011403015
86.60191,-0.036335304,-0.024611555,-0.011914272
86.61791,-0.035887334,-0.023073936,-0.012202988
86.63439,-0.034485184,-0.02050061,-0.012802628
86.65174,-0.03372459,-0.018337546,-0.013391895
86.66808,-0.03384131,-0.01737617,-0.013649435
86.68528,-0.032887414,-0.014836187,-0.014275902
86.70223,-0.03180225,-0.012685001,-0.014961553
86.71791,-0.03201865,-0.011699972,-0.015274446
86.73475,-0.031165842,-0.010195848,-0.01573866
86.7511,-0.030377902,-0.007945156,-0.016262798
86.76832,-0.03010099,-0.006846185,-0.01657573
86.784904,-0.029615143,-0.005684476,-0.017137345
86.80205,-0.028800257,-0.004507331,-0.017568639
86.818375,-0.02819349,-0.0036709858,-0.01784531
86.83521,-0.027590998,-0.0020276017,-0.018447373
86.85171,-0.02709552,-0.0014520778,-0.018980471
86.86884,-0.026560443,-0.0008677889,-0.019447349
86.885254,-0.025688868,0.000093764866,-0.019995373
86.901665,-0.026252277,0.00008812893,-0.019995239
86.91839,-0.025838604,0.0005439213,-0.020584345
86.93526,-0.025600635,0.00062849914,-0.021060094
86.95177,-0.02519853,0.0009954028,-0.021629175
86.96827,-0.025026035,0.0013372588,-0.022173183
86.98509,-0.024833852,0.0012325587,-0.022613088
87.00254,-0.025408423,0.0012260636,-0.022613468
87.01881,-0.02425636,0.0015538753,-0.02334799
87.03605,-0.024300989,0.0013937498,-0.023879604
87.05274,-0.02423487,0.0007260898,-0.024301324
87.06927,-0.024008289,0.00048281497,-0.024507165
87.085045,-0.023607299,0.00033525046,-0.024898717
87.10196,-0.023992162,0.00007316232,-0.02504722
87.1181,-0.023743806,-0.0008614826,-0.025280636
87.13568,-0.023613326,-0.0015245774,-0.02537856
87.15174,-0.023459489,-0.0015265803,-0.025429223
87.1684,-0.023064442,-0.0022582384,-0.025366092
87.18506,-0.02387787,-0.0027189704,-0.02517137
87.201866,-0.023839775,-0.0030613642,-0.024743129
87.21842,-0.02377442,-0.0032554031,-0.023989776
87.23479,-0.024194274,-0.003670736,-0.023545073
87.25152,-0.024316257,-0.0047577904,-0.022480594
87.26855,-0.02462192,-0.0046791504,-0.0214047
