time,x,y,z
203.22043,0.025578305,0.030134534,-0.0030600147
203.23726,0.025087554,0.030382246,-0.004151405
203.25385,0.024626246,0.030337421,-0.001660719
203.27087,0.023857627,0.030699044,-0.002722925
203.2873,0.023007967,0.03107188,-0.0036716391
203.30367,0.023132402,0.03153912,-0.0012541986
203.3204,0.022507768,0.031860948,-0.0024080512
203.33731,0.021766879,0.0329893,-0.0034525108
203.35374,0.02141952,0.033951335,-0.00081328145
203.37015,0.020360382,0.03466739,-0.0019955311
203.387,0.019622043,0.035738334,-0.0031048001
203.40388,0.01912404,0.036274664,-0.0005912537
203.42017,0.01828656,0.037561867,-0.0015835647
203.43768,0.017856568,0.038199067,-0.0027739278
203.45383,0.01752329,0.03853866,-0.00003942378
203.47035,0.017217504,0.03956283,-0.0012874692
203.487,0.016669303,0.040140484,-0.0024884671
203.50362,0.016535975,0.040352426,-0.000019194164
203.52037,0.015938677,0.040953413,-0.0011619718
203.53703,0.015201963,0.04140071,0.0013950882
203.55374,0.0144008575,0.041846562,0.00022474169
203.5701,0.013829342,0.04203564,-0.00091142446
203.58691,0.01394081,0.042336527,0.0014757925
203.60384,0.013319739,0.043061372,0.00037275316
203.62042,0.012812042,0.043824896,-0.00064459303
203.63696,0.012324916,0.043821633,0.001801862
203.65366,0.01201784,0.04417713,0.00058779615
203.67018,0.011350141,0.04450844,-0.0005472463
203.68706,0.011254079,0.0448749,0.001869177
203.70395,0.010713818,0.044792507,0.00074343674
203.7206,0.010355522,0.04518425,-0.000363665
203.73717,0.009768589,0.045280706,0.002089918
203.7537,0.009204182,0.04564623,0.00087370374
203.77039,0.008907534,0.0458485,-0.00041679243
203.7871,0.008599302,0.046018265,0.0020834014
203.80405,0.008386764,0.046516992,0.00087371713
203.82077,0.0076907994,0.046855867,-0.0002377562
203.8371,0.007620287,0.046970394,0.00223514
203.85379,0.0070785396,0.047280848,0.00082172925
203.87111,0.006742766,0.047478944,-0.00044633274
203.88744,0.006149902,0.04750592,0.0022879313
203.90411,0.005571558,0.047644425,0.00086959166
203.92067,0.0051188855,0.047895156,-0.0004031452
203.9371,0.005165788,0.048228443,0.0020304837
203.9538,0.0045678383,0.04849887,0.0006600949
203.97092,0.0040326966,0.04852642,-0.00067846006
203.98755,0.0040367893,0.04861584,0.0019454148
204.0042,0.003617066,0.04840559,0.00061232114
204.02075,0.0036030489,0.048643544,-0.00073571486
204.03726,0.0030572736,0.048612554,0.001692826
204.05464,0.0031141841,0.0489978,0.00029227135
204.071,0.0025189319,0.049004592,0.0030625558
204.08745,0.0026086343,0.0489412,0.0015914855
204.10382,0.0025301022,0.048862647,0.000121903155
204.12079,0.0026045577,0.048998803,0.002532786
204.13795,0.0025034738,0.04894126,0.0012706039
